Recall,Precision
1.0,0.5
1.0,0.5000067196172506
1.0,0.5000134394151167
1.0,0.5000201593936054
1.0,0.5000268795527243
1.0,0.5000335998924803
1.0,0.500040320412881
1.0,0.5000470411139336
1.0,0.5000537619956453
1.0,0.5000604830580234
1.0,0.5000672043010753
1.0,0.5000739257248081
1.0,0.5000806473292293
1.0,0.500087369114346
1.0,0.5000940910801656
1.0,0.5001008132266953
1.0,0.5001075355539425
1.0,0.5001142580619145
1.0,0.5001209807506184
1.0,0.5001277036200615
1.0,0.5001344266702514
1.0,0.5001411499011951
1.0,0.5001478733128999
1.0,0.5001545969053732
1.0,0.5001613206786223
1.0,0.5001680446326544
1.0,0.5001747687674769
1.0,0.5001814930830969
1.0,0.5001882175795219
1.0,0.5001949422567591
1.0,0.5002016671148158
1.0,0.5002083921536993
1.0,0.5002151173734168
1.0,0.5002218427739759
1.0,0.5002285683553834
1.0,0.5002352941176471
1.0,0.5002420200607739
1.0,0.5002487461847713
1.0,0.5002554724896466
1.0,0.5002621989754071
1.0,0.5002689256420599
1.0,0.5002756524896126
1.0,0.5002823795180723
1.0,0.5002891067274463
1.0,0.500295834117742
1.0,0.5003025616889666
1.0,0.5003092894411274
1.0,0.5003160173742318
1.0,0.500322745488287
1.0,0.5003294737833004
1.0,0.5003362022592792
1.0,0.5003429309162307
1.0,0.5003496597541623
1.0,0.5003563887730812
1.0,0.5003631179729948
1.0,0.5003698473539103
1.0,0.500376576915835
1.0,0.5003833066587764
1.0,0.5003900365827415
1.0,0.5003967666877379
1.0,0.5004034969737727
1.0,0.5004102274408533
1.0,0.5004169580889869
1.0,0.500423688918181
1.0,0.5004304199284427
1.0,0.5004371511197794
1.0,0.5004438824921984
1.0,0.500450614045707
1.0,0.5004573457803126
1.0,0.5004640776960224
1.0,0.5004708097928436
1.0,0.5004775420707839
1.0,0.5004842745298501
1.0,0.5004910071700499
1.0,0.5004977399913905
1.0,0.500504472993879
1.0,0.5005112061775231
1.0,0.5005179395423298
1.0,0.5005246730883065
1.0,0.5005314068154606
1.0,0.5005381407237993
1.0,0.5005448748133299
1.0,0.5005516090840598
1.0,0.5005583435359964
1.0,0.5005650781691467
1.0,0.5005718129835184
1.0,0.5005785479791185
1.0,0.5005852831559544
1.0,0.5005920185140336
1.0,0.5005987540533631
1.0,0.5006054897739505
1.0,0.500612225675803
1.0,0.5006189617589278
1.0,0.5006256980233325
1.0,0.5006324344690242
1.0,0.5006391710960102
1.0,0.500645907904298
1.0,0.5006526448938947
1.0,0.5006593820648079
1.0,0.5006661194170445
1.0,0.5006728569506123
1.0,0.5006795946655183
1.0,0.50068633256177
1.0,0.5006930706393745
1.0,0.5006998088983393
1.0,0.5007065473386717
1.0,0.500713285960379
1.0,0.5007200247634686
1.0,0.5007267637479476
1.0,0.5007335029138235
1.0,0.5007402422611036
1.0,0.5007469817897953
1.0,0.5007537214999058
1.0,0.5007604613914425
1.0,0.5007672014644127
1.0,0.5007739417188236
1.0,0.5007806821546827
1.0,0.5007874227719974
1.0,0.5007941635707748
1.0,0.5008009045510223
1.0,0.5008076457127474
1.0,0.5008143870559572
1.0,0.5008211285806591
1.0,0.5008278702868604
1.0,0.5008346121745686
1.0,0.5008413542437908
1.0,0.5008480964945344
1.0,0.5008548389268069
1.0,0.5008615815406154
1.0,0.5008683243359675
1.0,0.5008750673128702
1.0,0.5008818104713311
1.0,0.5008885538113573
1.0,0.5008952973329563
1.0,0.5009020410361354
1.0,0.5009087849209021
1.0,0.5009155289872633
1.0,0.5009222732352268
1.0,0.5009290176647997
1.0,0.5009357622759892
1.0,0.5009425070688031
1.0,0.5009492520432481
1.0,0.5009559971993321
1.0,0.5009627425370622
1.0,0.5009694880564457
1.0,0.5009762337574901
1.0,0.5009829796402026
1.0,0.5009897257045904
1.0,0.5009964719506612
1.0,0.5010032183784221
1.0,0.5010099649878804
1.0,0.5010167117790436
1.0,0.501023458751919
1.0,0.5010302059065138
1.0,0.5010369532428356
1.0,0.5010437007608916
1.0,0.501050448460689
1.0,0.5010571963422353
1.0,0.5010639444055379
1.0,0.501070692650604
