Recall,Precision
1.0,0.5
1.0,0.5000067196172506
1.0,0.5000134394151167
1.0,0.5000201593936054
1.0,0.5000268795527243
1.0,0.5000335998924803
1.0,0.500040320412881
1.0,0.5000470411139336
1.0,0.5000537619956453
1.0,0.5000604830580234
1.0,0.5000672043010753
1.0,0.5000739257248081
1.0,0.5000806473292293
1.0,0.500087369114346
1.0,0.5000940910801656
1.0,0.5001008132266953
1.0,0.5001075355539425
1.0,0.5001142580619145
1.0,0.5001209807506184
1.0,0.5001277036200615
1.0,0.5001344266702514
1.0,0.5001411499011951
1.0,0.5001478733128999
1.0,0.5001545969053732
1.0,0.5001613206786223
1.0,0.5001680446326544
1.0,0.5001747687674769
1.0,0.5001814930830969
1.0,0.5001882175795219
1.0,0.5001949422567591
1.0,0.5002016671148158
1.0,0.5002083921536993
1.0,0.5002151173734168
1.0,0.5002218427739759
1.0,0.5002285683553834
1.0,0.5002352941176471
1.0,0.5002420200607739
1.0,0.5002487461847713
1.0,0.5002554724896466
1.0,0.5002621989754071
1.0,0.5002689256420599
1.0,0.5002756524896126
1.0,0.5002823795180723
1.0,0.5002891067274463
1.0,0.500295834117742
1.0,0.5003025616889666
1.0,0.5003092894411274
1.0,0.5003160173742318
1.0,0.500322745488287
1.0,0.5003294737833004
1.0,0.5003362022592792
1.0,0.5003429309162307
1.0,0.5003496597541623
1.0,0.5003563887730812
1.0,0.5003631179729948
1.0,0.5003698473539103
1.0,0.500376576915835
1.0,0.5003833066587764
1.0,0.5003900365827415
1.0,0.5003967666877379
1.0,0.5004034969737727
1.0,0.5004102274408533
1.0,0.5004169580889869
1.0,0.500423688918181
1.0,0.5004304199284427
1.0,0.5004371511197794
1.0,0.5004438824921984
1.0,0.500450614045707
1.0,0.5004573457803126
1.0,0.5004640776960224
1.0,0.5004708097928436
1.0,0.5004775420707839
1.0,0.5004842745298501
1.0,0.5004910071700499
1.0,0.5004977399913905
1.0,0.500504472993879
1.0,0.5005112061775231
1.0,0.5005179395423298
1.0,0.5005246730883065
1.0,0.5005314068154606
1.0,0.5005381407237993
1.0,0.5005448748133299
1.0,0.5005516090840598
1.0,0.5005583435359964
1.0,0.5005650781691467
1.0,0.5005718129835184
1.0,0.5005785479791185
1.0,0.5005852831559544
1.0,0.5005920185140336
1.0,0.5005987540533631
1.0,0.5006054897739505
1.0,0.500612225675803
1.0,0.5006189617589278
1.0,0.5006256980233325
1.0,0.5006324344690242
1.0,0.5006391710960102
1.0,0.500645907904298
1.0,0.5006526448938947
1.0,0.5006593820648079
1.0,0.5006661194170445
1.0,0.5006728569506123
1.0,0.5006795946655183
1.0,0.50068633256177
1.0,0.5006930706393745
1.0,0.5006998088983393
1.0,0.5007065473386717
0.9999731218922188,0.5006998277347114
0.9999731218922188,0.5007065663566747
0.9999731218922188,0.5007133051600227
0.9999731218922188,0.5007200441447626
0.9999731218922188,0.5007267833109017
0.9999731218922188,0.5007335226584476
0.9999731218922188,0.5007402621874074
0.9999731218922188,0.5007470018977886
0.9999731218922188,0.5007537417895984
0.9999731218922188,0.500760481862844
0.9999731218922188,0.500767222117533
0.9999731218922188,0.5007739625536726
0.9999731218922188,0.5007807031712701
0.9999731218922188,0.5007874439703329
0.9999731218922188,0.5007941849508682
0.9999731218922188,0.5008009261128835
0.9999731218922188,0.5008076674563859
0.9999731218922188,0.500814408981383
0.9999731218922188,0.500821150687882
0.9999731218922188,0.5008278925758901
0.9999731218922188,0.5008346346454149
0.9999731218922188,0.5008413768964636
0.9999731218922188,0.5008481193290434
0.9999731218922188,0.5008548619431618
0.9999731218922188,0.500861604738826
0.9999731218922188,0.5008683477160436
0.9999731218922188,0.5008750908748216
0.9999731218922188,0.5008818342151675
0.9999731218922188,0.5008885777370887
0.9999731218922188,0.5008953214405923
0.9999731218922188,0.5009020653256859
0.9999731218922188,0.5009088093923768
0.9999731218922188,0.5009155536406721
0.9999731218922188,0.5009222980705794
0.9999731218922188,0.5009290426821058
0.9999731218922188,0.5009357874752589
0.9999731218922188,0.5009425324500458
0.9999731218922188,0.5009492776064739
0.9999731218922188,0.5009560229445507
